isolate_ID,rep1,rep2,rep3
21PW6,6.47 ,7.00 ,7.02 
21PW7,7.14 ,7.23 ,7.98 
21PW8,17.40 ,18.94 ,19.21 
21PW9,6.65 ,7.08 ,7.00 
21PW10,4.97 ,4.78 ,4.96 
21PW11,5.19 ,5.31 ,5.02 
21PW12,8.90 ,8.82 ,8.74 
21PW13,22.28 ,21.57 ,22.39 
21PW14,12.38 ,12.10 ,12.47 
21PW15,19.36 ,19.26 ,20.45 
21PW17,6.83 ,6.35 ,6.67 
21PW18,15.05 ,15.42 ,15.30 
21PW19,8.00 ,8.34 ,8.52 
21PW40,12.00 ,12.06 ,12.13 
21PW41,7.57 ,7.60 ,7.86 
21PW45,6.05 ,5.82 ,5.90 
21PW46,18.71 ,19.46 ,19.51 
21PW48,6.76 ,6.53 ,6.61 
21PW49,10.24 ,10.92 ,10.42 
21PW51,16.52 ,17.26 ,17.54 
21PW56,8.73 ,8.46 ,8.90 
21PW57,5.27 ,5.52 ,5.80 
21PW58,18.99 ,19.37 ,19.57 
21PW61,23.17 ,23.43 ,23.36 
21PW63,10.64 ,11.22 ,11.83 
21PW64,21.52 ,21.77 ,22.86 
21PW65,6.09 ,6.18 ,6.27 
21PW66,4.74 ,4.87 ,4.83 
21PW67,21.31 ,21.55 ,22.59 
21PW68,10.82 ,11.04 ,11.09 
21PW69,20.43 ,21.78 ,21.83 
21PW72,17.29 ,17.85 ,17.82 
21PW73,13.71 ,10.40 ,10.52 
21PW74,23.15 ,23.57 ,23.56 
21PW75,11.45 ,11.85 ,11.99 
21PW76,9.64 ,9.82 ,9.75 
21PW77,18.29 ,18.10 ,18.61 
21PW78,18.16 ,18.48 ,18.41 
21PW79,19.48 ,19.93 ,19.95 
21PW81,12.23 ,12.47 ,12.63 
21PW82,22.01 ,21.93 ,22.33 
21PW83,23.29 ,23.44 ,23.92 
21PW85,12.95 ,12.82 ,13.75 
21PW86,10.78 ,11.01 ,11.09 
21PW87,3.02 ,3.05 ,2.99 
21PW88,6.05 ,6.45 ,6.15 
21PW89,6.47 ,6.53 ,6.95 
21PW90,5.91 ,5.83 ,5.99 
21PW91,0.00 ,0.00 ,0.00 
21PW93,4.65 ,4.99 ,5.08 
21PW94,7.54 ,7.18 ,7.77 
21PW97,20.18 ,21.53 ,20.34 
21PW98,3.76 ,4.09 ,4.06 
21PW100,3.50 ,3.57 ,3.78 
21PW103,9.21 ,9.22 ,9.74 
21PW104,5.08 ,5.15 ,5.62 
21PW105,8.08 ,8.45 ,8.23 
21PW106,2.65 ,2.92 ,3.04 
21PW108,9.14 ,9.16 ,9.72 
21PW110,6.86 ,7.39 ,7.39 
21PW111,8.08 ,8.45 ,8.23 
21PW126,2.65 ,2.92 ,3.04 
21PW127,9.14 ,9.16 ,9.72 
21PW128,6.86 ,7.39 ,7.39 
21PW129,6.50 ,6.71 ,6.77 
21PW130,5.70 ,5.82 ,5.76 
