"Crop","site_ID","Sample.site","replicate","pH","EC","OM","P2O5","NO3.N","K","Ca","Mg","Na"
"mallow","AB","control","rep1",7.1,0.22,8.7,169,1.35,0.32,3.66,0.98,0.09
"mallow","AB","control","rep2",7.3,0.24,9.3,168,0.99,0.27,3.64,0.95,0.11
"mallow","AB","control","rep3",7.1,0.39,7.2,171,4.31,0.26,3.96,1.01,0.1
"mallow","AB","treatment","rep1",6.9,1.08,7,165,57.5,0.28,4.42,1.23,0.12
"mallow","AB","treatment","rep2",7.1,0.37,9,163,1.88,0.29,3.76,0.96,0.14
"mallow","AB","treatment","rep3",6.8,2.2,7.3,165,116,0.27,5.09,1.42,0.22
"green lettuce","AC","control","rep1",7.2,0.35,8.3,171,3.1,0.32,3.88,1.06,0.18
"green lettuce","AC","control","rep2",7.1,0.28,7.5,165,0.75,0.32,3.66,0.96,0.12
"green lettuce","AC","control","rep3",7,0.51,7.5,163,2.71,0.3,4.06,1.02,0.17
"green lettuce","AC","treatment","rep1",7,0.4,7.4,163,5.59,0.28,3.81,1.02,0.14
"green lettuce","AC","treatment","rep2",7.1,0.37,8.3,166,2.76,0.3,3.63,0.99,0.14
"green lettuce","AC","treatment","rep3",7.1,0.86,7.1,176,9.87,0.26,4.39,1.17,0.16
"romain","AD","control","rep1",7.4,1.6,8.4,189,42,0.24,5.71,1.35,0.29
"romain","AD","control","rep2",7,1.01,10.1,173,19.3,0.27,4.63,1.18,0.18
"romain","AD","control","rep3",7.1,1.24,9.6,185,3.37,0.32,5.33,1.38,0.35
"romain","AD","treatment","rep1",6.7,1.25,7.9,171,83,0.27,4.24,1.23,0.14
"romain","AD","treatment","rep2",7.1,1.62,9.4,200,52.6,0.3,6.19,1.54,0.34
"romain","AD","treatment","rep3",6.8,2.4,8.1,185,130,0.27,5.45,1.51,0.34
"kale","AE","control","rep1",6.8,1.15,7.9,175,6.25,0.31,4.58,1.28,0.17
"kale","AE","control","rep2",7.1,0.93,7,165,5.66,0.29,5.05,1.31,0.23
"kale","AE","control","rep3",7.1,0.71,6,168,4.04,0.24,3.97,1.02,0.13
"kale","AE","treatment","rep1",6.4,3.54,7.9,166,282,0.38,5.59,1.84,0.36
"kale","AE","treatment","rep2",6.9,1.4,8.7,173,38.1,0.31,4.66,1.34,0.26
"kale","AE","treatment","rep3",6.6,1.55,7.7,180,63.8,0.26,4.21,1.29,0.18
"kale","CK1","control","rep1",5.6,7.19,31.5,793,139,0.43,16.32,1.69,0.17
"kale","CK1","control","rep2",5.8,6.09,29.9,716,48.4,0.31,15.36,1.6,0.09
"kale","CK1","control","rep3",6.1,4.29,26.6,601,15.7,0.31,13.71,1.62,0.1
"kale","CK1","treatment","rep1",6,4.76,29.9,640,97.7,0.3,14.1,1.99,0.09
"kale","CK1","treatment","rep2",6.5,3.66,33.1,547,21.2,0.29,14.68,1.78,0.08
"kale","CK1","treatment","rep3",6,4.52,23.7,463,15.6,0.2,13.63,1.92,0.05
"green lettuce","CL1","control","rep1",6.7,1.89,26.7,574,29.3,0.26,11.68,1.6,0.06
"green lettuce","CL1","control","rep2",6.7,0.68,21.3,409,8.14,0.2,10.25,1.46,0.08
"green lettuce","CL1","control","rep3",6.7,2.05,23.5,399,22.7,0.2,11.61,1.83,0.05
"green lettuce","CL1","treatment","rep1",7.1,2.21,28.5,666,54.6,0.4,12.36,2.39,0.1
"green lettuce","CL1","treatment","rep2",7,2.75,27,504,65.5,0.3,12.33,2.48,0.08
