"Crop","site_ID","Sample.site","replicate","pH","EC","OM","P2O5","NO3.N","K","Ca","Mg","Na"
"mallow","AB","control","rep1",6.9,0.27,8.5,167,5.92,0.26,3.12,0.84,0
"mallow","AB","control","rep2",7.2,0.28,7.4,155,6.04,0.21,3.33,0.79,0.04
"mallow","AB","control","rep3",7.2,0.48,7.2,170,10.1,0.23,4.03,0.93,0.08
"mallow","AB","treatment","rep1",6.8,1.06,7.6,168,28.7,0.22,4.12,1.1,0.05
"mallow","AB","treatment","rep2",6.8,0.91,7.9,169,28.9,0.24,3.9,1.03,0.05
"mallow","AB","treatment","rep3",6.7,1.95,7.5,178,83.3,0.23,4.66,1.25,0.08
"green lettuce","AC","control","rep1",7,0.57,7.7,165,10.6,0.21,3.77,0.99,0.02
"green lettuce","AC","control","rep2",7,0.24,8.2,167,4.16,0.26,3.35,0.89,0.04
"green lettuce","AC","control","rep3",7.1,0.4,6.6,176,4.33,0.21,3.55,0.9,0.03
"green lettuce","AC","treatment","rep1",7,0.42,7,167,5.88,0.2,3.33,0.85,0.03
"green lettuce","AC","treatment","rep2",6.9,0.71,7.2,163,6.94,0.22,3.84,1.02,0.04
"green lettuce","AC","treatment","rep3",7,1.12,7.3,169,15.9,0.21,4.39,1.15,0.07
"romain","AD","control","rep1",7.2,1.41,8.2,149,2.97,0.25,5.16,1.25,0.19
"romain","AD","control","rep2",7.4,1.17,8,181,8.79,0.24,4.75,1.18,0.17
"romain","AD","control","rep3",7.1,1.1,6.9,162,14.3,0.24,4.36,1.07,0.12
"romain","AD","treatment","rep1",6.6,1.65,7.6,158,112,0.25,4.1,1.25,0.07
"romain","AD","treatment","rep2",6.8,1.67,8.3,195,64.8,0.37,4.28,1.3,0.18
"romain","AD","treatment","rep3",6.7,1.56,6.4,169,8.94,0.24,4.23,1.21,0.18
"kale","AE","control","rep1",7.1,1.16,7.3,158,6.03,0.22,4.82,1.17,0.1
"kale","AE","control","rep2",6.7,1.15,7.4,181,23.2,0.26,3.83,1.06,0.05
"kale","AE","control","rep3",6.7,1.34,8.5,192,34.5,0.29,4.18,1.18,0.13
"kale","AE","treatment","rep1",6.7,2.95,7.4,170,155,0.25,5.37,1.63,0.2
"kale","AE","treatment","rep2",6.7,1.82,7.4,175,70.6,0.25,4.45,1.34,0.09
"kale","AE","treatment","rep3",6.8,1.15,6.9,168,18.6,0.21,4.02,1.07,0.05
"kale","CK1","control","rep1",5.2,7.42,28.5,807,239,0.45,14.66,1.54,0.24
"kale","CK1","control","rep2",5.9,2.97,31,776,64.7,0.4,11.61,1,0.15
"kale","CK1","control","rep3",5.7,3.49,33.2,704,39.5,0.33,11.61,0.97,0.12
"kale","CK1","treatment","rep1",5.9,2.93,29.6,699,64.8,0.3,11.39,1.34,0.1
